Cuisine,Count,Avg_Rating,Avg_weighted_rating,Avg_Reviews,Avg_Price
Italian,228,4.14,4.11,495.07,2.38
Pizza,182,4.05,4.09,474.35,1.61
Mexican,155,4.07,4.08,232.59,1.82
Chinese,149,3.99,4.08,238.62,1.67
New American,104,4.09,4.09,548.69,2.47
Sushi Bars,101,4.29,4.21,260.45,2.59
Thai,101,4.3,4.22,614.17,2.1
Japanese,97,4.25,4.17,353.26,2.3
Korean,91,4.29,4.19,359.2,2.22
Coffee & Tea,81,4.3,4.18,224.4,1.68
Mediterranean,74,4.23,4.17,273.85,2.22
Cafes,68,4.23,4.17,125.06,1.72
Seafood,65,4.09,4.11,432.74,2.29
Cocktail Bars,64,4.2,4.15,292.44,2.14
Bars,63,4.1,4.06,345.14,2.06
French,62,4.17,4.11,711.87,2.61
Burgers,62,4.0,4.06,255.11,1.85
Indian,61,4.27,4.19,356.84,1.93
Breakfast & Brunch,60,4.1,4.07,459.58,1.93
American,59,3.87,3.98,465.03,2.11
Delis,58,4.13,4.12,127.97,1.33
Ramen,52,4.23,4.17,676.23,2.06
Vietnamese,50,4.13,4.12,451.84,1.9
Sandwiches,47,4.08,4.14,158.3,1.76
Latin American,45,3.92,3.98,412.84,1.97
Bakeries,40,4.3,4.18,509.02,1.69
Greek,38,4.23,4.16,342.26,2.04
Diners,38,3.67,3.82,308.45,1.83
Middle Eastern,35,4.16,4.15,662.71,1.72
Wine Bars,33,4.27,4.17,239.61,2.22
Tacos,32,4.05,4.1,232.03,1.73
Caribbean,30,3.87,4.0,165.03,2.12
Asian Fusion,28,4.05,4.02,313.5,2.14
Barbeque,27,3.97,3.98,600.11,2.05
Food Trucks,25,4.51,4.22,102.08,1.27
Steakhouses,25,4.19,4.12,633.28,3.17
Noodles,25,4.39,4.21,111.28,1.92
Dim Sum,24,4.15,4.11,329.79,1.95
Peruvian,23,3.97,4.0,271.78,2.29
Salad,23,3.94,4.06,127.0,1.8
Szechuan,23,4.26,4.21,493.74,2.12
Chicken Wings,23,3.52,4.02,135.65,1.45
Dominican,21,4.0,4.0,107.52,1.54
Pubs,20,3.88,3.96,380.85,2.0
Spanish,20,4.08,4.12,331.5,2.29
Shanghainese,19,4.11,4.1,1181.89,2.07
Halal,18,4.09,4.13,128.06,1.5
Chicken Shop,17,4.35,4.19,75.41,2.0
Himalayan/Nepalese,17,4.27,4.16,158.65,1.7
Taiwanese,17,4.21,4.18,528.12,1.9
Fast Food,17,3.39,3.92,335.12,1.22
Hot Pot,15,4.51,4.35,368.2,3.0
Bagels,15,3.91,4.0,527.8,1.27
