restaurant_id,name,neighborhood,borough,city,zip,rating,weighted_rating,review_count,price,price_numeric,rating_category,review_volume,latitude,longitude,address,categories,primary_category,is_open_now,population,median_income,median_age,income_quartile,median_home_price,median_rent,value_score
the penrose_40.7754_-73.9531,The Penrose,Upper East Side,Manhattan,New York,10028,3.9,3.91,1639.0,$$,2.0,Good,Very High,40.775427,-73.953115,1590 2nd Ave,"Gastropubs, New American, Bars",Gastropubs,,45717.0,160244.0,41.6,High Income,2692485.020613832,3725.920012995452,0.7592418178299571
water & wheat_40.7739_-73.9576,Water & Wheat,Upper East Side,Manhattan,New York,10075,4.5,4.35,142.0,,,Great,Medium,40.77388467411683,-73.95761864788513,1379 3rd Ave,Italian,Italian,,23920.0,140736.0,44.9,Medium-High,3052735.6024683043,3204.7222222222226,
up thai_40.7698_-73.9576,Up Thai,Upper East Side,Manhattan,New York,10021,4.4,4.39,3366.0,$$,2.0,Great,Very High,40.7698275926665,-73.9576330868512,1411 2nd Ave,Thai,Thai,,40642.0,149432.0,43.0,Medium-High,4178007.638934333,4074.2361398665744,0.9561666035440815
uva_40.7722_-73.9556,Uva,Upper East Side,Manhattan,New York,10075,4.0,4.0,2907.0,$$$,3.0,Good,Very High,40.77219299003591,-73.95561517222123,1486 2nd Ave,"Italian, Wine Bars, Pizza",Italian,,23920.0,140736.0,44.9,Medium-High,3052735.6024683043,3204.7222222222226,0.3432848732880915
pil pil_40.7728_-73.9559,Pil Pil,Upper East Side,Manhattan,New York,10075,4.0,4.01,902.0,$$,2.0,Good,Very High,40.7728412,-73.9558687,265 E 78th St,"Tapas Bars, Breakfast & Brunch, Wine Bars",Tapas Bars,,23920.0,140736.0,44.9,Medium-High,3052735.6024683043,3204.7222222222226,0.6766182066214249
lyly vietnam cookhouse_40.7743_-73.9538,LyLy Vietnam Cookhouse,Upper East Side,Manhattan,New York,10028,4.5,4.34,135.0,$$,2.0,Great,Medium,40.77433059536165,-73.95376251914769,306 E 81st St,Vietnamese,Vietnamese,,45717.0,160244.0,41.6,High Income,2692485.020613832,3725.920012995452,0.9092418178299573
thep thai restaurant_40.7708_-73.9573,THEP Thai Restaurant,Upper East Side,Manhattan,New York,10021,4.5,4.49,3506.0,$$$,3.0,Great,Very High,40.77078,-73.95727,1439 2nd Ave,"Thai, Noodles, Asian Fusion",Thai,,40642.0,149432.0,43.0,Medium-High,4178007.638934333,4074.2361398665744,0.6478332702107479
sea salt_40.7613_-73.961,Sea Salt,Upper East Side,Manhattan,New York,10065,4.4,4.32,239.0,,,Great,High,40.76128,-73.96099,1123 1st Ave,"Mediterranean, Cocktail Bars, Seafood",Mediterranean,,30859.0,158276.0,38.0,High Income,5953932.408587839,4819.253781512604,
aunt jake's_40.7746_-73.9545,Aunt Jake's,Upper East Side,Manhattan,New York,10028,4.4,4.34,379.0,$$,2.0,Great,High,40.774587,-73.954513,1555 2nd Ave,"Italian, Wine Bars, Cocktail Bars",Italian,,45717.0,160244.0,41.6,High Income,2692485.020613832,3725.920012995452,0.8842418178299574
yasouvlaki_40.7803_-73.9531,yasouvlaki,Upper East Side,Manhattan,New York,10128,4.3,4.25,253.0,$$,2.0,Great,High,40.7803,-73.95312,1568 3rd Ave,"Greek, Wine Bars",Greek,,56695.0,137253.0,42.3,Medium-High,1513789.3541002711,3727.496537763506,0.8595673589041929
xi'an famous foods_40.772_-73.9545,Xi'an Famous Foods,Upper East Side,Manhattan,New York,10075,4.3,4.28,731.0,$$,2.0,Great,Very High,40.77197,-73.95452,328 E 78th St,"Chinese, Noodles, Burgers",Chinese,,23920.0,140736.0,44.9,Medium-High,3052735.6024683043,3204.7222222222226,0.7516182066214249
chamoun’s way_40.7646_-73.9588,Chamoun’s Way,Upper East Side,Manhattan,New York,10065,4.7,4.54,255.0,$$,2.0,Excellent,High,40.76459,-73.958758,1237 1st Ave,"Mediterranean, Lebanese",Mediterranean,,30859.0,158276.0,38.0,High Income,5953932.408587839,4819.253781512604,1.1850074110598916
nr_40.7702_-73.955,NR,Upper East Side,Manhattan,New York,10021,4.5,4.43,458.0,$$$,3.0,Great,High,40.770153,-73.954956,339 E 75th St,"Ramen, Seafood, Cocktail Bars",Ramen,,40642.0,149432.0,43.0,Medium-High,4178007.638934333,4074.2361398665744,0.6478332702107479
peng's noodle folk_40.7711_-73.962,Peng's Noodle Folk,Upper East Side,Manhattan,New York,10021,4.5,4.45,616.0,$$,2.0,Great,Very High,40.7711335538802,-73.9620354269869,1016 Lexington Ave,"Chinese, Noodles, Ramen",Chinese,,40642.0,149432.0,43.0,Medium-High,4178007.638934333,4074.2361398665744,0.9811666035440814
tha phraya_40.7745_-73.9545,Tha Phraya,Upper East Side,Manhattan,New York,10028,4.4,4.31,187.0,$$$,3.0,Great,Medium,40.77454178196952,-73.95451304440785,1553 2nd Ave,"Thai, Noodles, Bars",Thai,,45717.0,160244.0,41.6,High Income,2692485.020613832,3725.920012995452,0.5509084844966239
boqueria ues_40.7715_-73.9561,Boqueria UES,Upper East Side,Manhattan,New York,10075,4.2,4.19,1046.0,$$$,3.0,Great,Very High,40.77150095318256,-73.95608983374693,1460 2nd Ave,"Tapas/Small Plates, Spanish, Tapas Bars",Tapas/Small Plates,,23920.0,140736.0,44.9,Medium-High,3052735.6024683043,3204.7222222222226,0.39328487328809153
bua thai ramen & robata grill_40.7764_-73.9531,Bua Thai Ramen & Robata Grill,Upper East Side,Manhattan,New York,10028,4.5,4.49,3575.0,$$$,3.0,Great,Very High,40.7763615,-73.95308,1611 2nd Ave,"Thai, Ramen, Vegetarian",Thai,,45717.0,160244.0,41.6,High Income,2692485.020613832,3725.920012995452,0.5759084844966238
the drunken munkey - ues_40.781_-73.9475,The Drunken Munkey - UES,Upper East Side,Manhattan,New York,10128,4.3,4.29,1489.0,$$,2.0,Great,Very High,40.78098,-73.94751,338 E 92nd St,"Indian, Cocktail Bars",Indian,,56695.0,137253.0,42.3,Medium-High,1513789.3541002711,3727.496537763506,0.8595673589041929
